"pid","bid","labelid","wgt_gain_after_train","pct_body_fat_change","pct_body_lean_change","pct_body_fluid_change","lactate_change_dueto_train","vo2_max_change","EDTA_coll_time_train","deathtime_after_train","frozetime_after_train"
11222662,90613,90613015001,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182823
11222662,90613,90613015101,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182504
11222662,90613,90613017101,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182358
11222662,90613,90613017201,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182377
11222662,90613,90613017401,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182783
11222662,90613,90613017501,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,183041
11222662,90613,90613017601,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182987
11222662,90613,90613017701,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,183027
11222662,90613,90613017801,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182953
11222662,90613,90613017901,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182923
12326658,90696,90696013001,,,,,,,952278,952515,959518
12326658,90696,90696013002,,,,,,,952278,952515,959518
12326658,90696,90696013101,,,,,,,952278,952515,
12326658,90696,90696013102,,,,,,,952278,952515,
12326658,90696,90696013103,,,,,,,952278,952515,
12326658,90696,90696013201,,,,,,,952278,952515,
12326658,90696,90696013202,,,,,,,952278,952515,
12326658,90696,90696013301,,,,,,,952278,952515,952686
12326658,90696,90696013401,,,,,,,952278,952515,952717
12326658,90696,90696013402,,,,,,,952278,952515,952701
12326658,90696,90696013501,,,,,,,952278,952515,952640
12326658,90696,90696013601,,,,,,,952278,952515,952427
12326658,90696,90696013701,,,,,,,952278,952515,952814
12326658,90696,90696013801,,,,,,,952278,952515,952930
12326658,90696,90696013901,,,,,,,952278,952515,952549
12326658,90696,90696014001,,,,,,,952278,952515,952611
12326658,90696,90696014101,,,,,,,952278,952515,952630
12326658,90696,90696014201,,,,,,,952278,952515,952735
12326658,90696,90696014301,,,,,,,952278,952515,952636
12326658,90696,90696014401,,,,,,,952278,952515,952796
12326658,90696,90696014601,,,,,,,952278,952515,952714
12326658,90696,90696014701,,,,,,,952278,952515,952495
12326658,90696,90696014801,,,,,,,952278,952515,952717
12326658,90696,90696014901,,,,,,,952278,952515,952581
12326658,90696,90696015001,,,,,,,952278,952515,952814
12326658,90696,90696015101,,,,,,,952278,952515,952527
12326658,90696,90696017101,,,,,,,952278,952515,952373
12326658,90696,90696017201,,,,,,,952278,952515,952397
12326658,90696,90696017401,,,,,,,952278,952515,952752
12326658,90696,90696017501,,,,,,,952278,952515,952966
12326658,90696,90696017601,,,,,,,952278,952515,953005
12326658,90696,90696017701,,,,,,,952278,952515,953053
12326658,90696,90696017801,,,,,,,952278,952515,952965
12326658,90696,90696017901,,,,,,,952278,952515,952914
10044175,90250,90250013301,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179424
10044175,90250,90250013401,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179446
10044175,90250,90250013402,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179432
10044175,90250,90250013501,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179333
10044175,90250,90250013601,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,178957
10044175,90250,90250013701,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179556
10044175,90250,90250013801,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179814
10044175,90250,90250013901,9.1,-1.2,1.1,81.4,4.6,15.11,,179159,179224
