"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"Animal Training","*",999,"Excercise rat with a day2 posttrainlact value when it is not expected.","Excercise rat with a day2 posttrainlact","control=0 and day2_posttrainlact_RTRA ne .","DAY2_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day22 posttrainlact value when it is not expected.","Excercise rat with a day22 posttrainlact","control=0 and day22_posttrainlact_RTRA ne .","DAY22_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day23 posttrainlact value when it is not expected.","Excercise rat with a day23 posttrainlact","control=0 and day23_posttrainlact_RTRA ne .","DAY23_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day24 posttrainlact value when it is not expected.","Excercise rat with a day24 posttrainlact","control=0 and day24_posttrainlact_RTRA ne .","DAY24_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day27 posttrainlact value when it is not expected.","Excercise rat with a day27 posttrainlact","control=0 and day27_posttrainlact_RTRA ne .","DAY27_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day28 posttrainlact value when it is not expected.","Excercise rat with a day28 posttrainlact","control=0 and day28_posttrainlact_RTRA ne .","DAY28_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day29 posttrainlact value when it is not expected.","Excercise rat with a day29 posttrainlact","control=0 and day29_posttrainlact_RTRA ne .","DAY29_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day3 posttrainlact value when it is not expected.","Excercise rat with a day3 posttrainlact","control=0 and day3_posttrainlact_RTRA ne .","DAY3_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day32 posttrainlact value when it is not expected.","Excercise rat with a day32 posttrainlact","control=0 and day32_posttrainlact_RTRA ne .","DAY32_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day33 posttrainlact value when it is not expected.","Excercise rat with a day33 posttrainlact","control=0 and day33_posttrainlact_RTRA ne .","DAY33_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day34 posttrainlact value when it is not expected.","Excercise rat with a day34 posttrainlact","control=0 and day34_posttrainlact_RTRA ne .","DAY34_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day36 posttrainlact value when it is not expected.","Excercise rat with a day36 posttrainlact","control=0 and day36_posttrainlact_RTRA ne .","DAY36_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day37 posttrainlact value when it is not expected.","Excercise rat with a day37 posttrainlact","control=0 and day37_posttrainlact_RTRA ne .","DAY37_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day38 posttrainlact value when it is not expected.","Excercise rat with a day38 posttrainlact","control=0 and day38_posttrainlact_RTRA ne .","DAY38_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day39 posttrainlact value when it is not expected.","Excercise rat with a day39 posttrainlact","control=0 and day39_posttrainlact_RTRA ne .","DAY39_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day4 posttrainlact value when it is not expected.","Excercise rat with a day4 posttrainlact","control=0 and day4_posttrainlact_RTRA ne .","DAY4_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day7 posttrainlact value when it is not expected.","Excercise rat with a day7 posttrainlact","control=0 and day7_posttrainlact_RTRA ne .","DAY7_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day8 posttrainlact value when it is not expected.","Excercise rat with a day8 posttrainlact","control=0 and day8_posttrainlact_RTRA ne .","DAY8_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
